,SMILES,Standard Value,pIC50
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,470,6.327902142
CHEMBL4278269,Cc1cc(-c2c[se]cc2-c2ccc(OCCN3CCCC3)c(C)c2)ccc1O,5,8.301029996
CHEMBL188957,CCCc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,11,7.958607315
CHEMBL189706,CCOC(=O)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,190,6.721246399
CHEMBL188230,O=Cc1cc(O)cc2nc(-c3ccc(O)cc3)oc12,59,7.229147988
CHEMBL188528,Oc1ccc(-c2nc3cc(O)cc(Br)c3o2)cc1,1.4,8.853871964
CHEMBL187671,CC(C)(C)c1cc(-c2nc3ccc(O)cc3o2)ccc1O,1600,5.795880017
CHEMBL8145,O=c1c(-c2ccc(O)cc2)coc2cc(O)ccc12,1200,5.920818754
CHEMBL73989,Oc1ccc2c(c1)CC1Oc3cc(O)ccc3N=C21,1400,5.853871964
CHEMBL372808,Cc1c(-c2ccc(O)cc2)n(Cc2ccc(OC[C@H](C)N3CCCC3)cc2)c2ccc(O)cc12,2.3,8.638272164
CHEMBL83451,Oc1ccc2c(c1)S[C@H](c1ccncc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,8202,5.086080235
CHEMBL85536,Oc1ccc2c(c1)S[C@H](Cc1ccccc1)[C@H](c1ccc(OCCN3CCCCC3)cc1)O2,60,7.22184875
CHEMBL103305,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1cccc(Cl)c1,284,6.54668166
CHEMBL90072,Oc1ccc([C@@H]2Sc3cc(O)c(Cl)cc3O[C@@H]2c2ccc(OCCN3CCCCC3)cc2)cc1,73,7.13667714
CHEMBL98558,CC1(c2ccc(OCCN3CCCC3)cc2)c2ccc(O)cc2CCN1c1ccccc1,83,7.080921908
CHEMBL3234617,Oc1ccc(C(=Nc2ccccc2Cl)c2ccc(O)cc2)cc1,19,7.721246399
CHEMBL3234622,Oc1ccc(C(=Nc2ccc(Br)cc2)c2ccc(O)cc2)cc1,6,8.22184875
CHEMBL379889,Cc1cc(O)cc2ncn(-c3ccc(O)cc3)c(=S)c12,79,7.102372909
CHEMBL195058,Oc1ccc2cc(-c3ccccc3O)ccc2c1,2000,5.698970004
CHEMBL261680,Nc1ccc(-c2ccc(O)cc2)cc1Cl,2900,5.537602002
CHEMBL361871,C=Cc1cc(O)c(Br)c2nc(-c3ccc(O)c(F)c3)oc12,25,7.602059991
CHEMBL363902,Oc1ccc(-c2nc3cc(O)cc(-c4nccs4)c3o2)cc1,366,6.436518915
CHEMBL361063,C=Cc1cc(O)cc2nc(-c3ccc(O)cc3C)oc12,27,7.568636236
CHEMBL189356,C=CCc1cc(O)cc2nc(-c3ccc(O)cc3F)oc12,3,8.522878745
CHEMBL187207,Oc1cc(Br)c2oc(-c3ccc(O)c(F)c3)nc2c1,3,8.522878745
CHEMBL187392,Oc1ccc(-c2nc3cc(O)ccc3o2)cc1,6,8.22184875
CHEMBL362793,Oc1ccc(-c2nc3cc(O)c(Cl)cc3o2)cc1F,64,7.193820026
CHEMBL360817,Oc1ccc2oc(-c3ccc(O)c(F)c3)nc2c1,66,7.180456064
CHEMBL89995,Oc1ccc2c(c1)CCN(c1ccccc1)C2CC1CCCCC1,295,6.530177984
CHEMBL189025,Oc1ccc2nc(-c3ccc(O)c(O)c3)oc2c1,105,6.978810701
CHEMBL365941,O=Cc1cc(-c2ccc(O)c(F)c2)cc2ccc(O)cc12,3.4,8.468521083
CHEMBL258553,N#Cc1ccccc1-c1ccc(O)cc1,1800,5.744727495
CHEMBL78567,O=c1c2oc3c(Br)cc(O)cc3c2oc2cc(O)cc(O)c12,343,6.46470588
CHEMBL231811,O/N=C/c1ccc(-c2ccc(O)cc2)c2sccc12,4,8.397940009
CHEMBL327515,Cc1ccc(N2CCc3cc(O)ccc3C2(C)c2ccc(OCCN3CCCC3)cc2)cc1,448,6.348721986
CHEMBL91807,Oc1cccc(C2Sc3cc(O)ccc3OC2c2ccc(OCCN3CCCCC3)cc2)c1,245,6.610833916
CHEMBL400480,C=C[C@]12CCC(=C)C=C1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,120,6.920818754
CHEMBL440283,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,9.9,8.004364805
CHEMBL153395,CN(C[C@@H]1C[C@@H]1c1ccccc1)c1nc(NCCc2ccc(O)cc2)nc(N2CCNCC2)n1,20,7.698970004
CHEMBL364333,O=C(O)c1cc(O)cc2nc(-c3ccc(O)cc3)oc12,5000,5.301029996
CHEMBL82483,O=c1c2cc(O)ccc2oc2c1oc1cc(O)ccc12,192,6.716698771
CHEMBL313849,O=C(N1CCc2cc(O)ccc2C1c1ccc(Br)cc1)C(F)(F)F,22,7.657577319
CHEMBL187000,C/C=C\c1cc(O)cc2nc(-c3ccc(O)cc3F)oc12,23,7.638272164
CHEMBL44,O=c1c(-c2ccc(O)cc2)coc2cc(O)cc(O)c12,45900,4.338187314
CHEMBL311878,O=c1c2oc3ccc(O)cc3c2oc2cc(O)cc(O)c12,42,7.37675071
CHEMBL312186,O=c1c2c(O)cc(O)cc2oc2oc3cc(O)ccc3c12,1.7,8.769551079
CHEMBL103650,Oc1ccc2c(c1)CCN(c1ccccc1)C2c1ccc(F)cc1,421,6.375717904
CHEMBL77620,Cc1cc(O)cc2c1N=C(c1ccc(O)c(Br)c1)C(C)O2,90,7.045757491
CHEMBL101083,CC1(c2ccc(OCCN3CCCCC3)cc2)c2ccc(O)cc2CCN1c1ccc(F)cc1,92,7.036212173
